2017-01-25 04:59:12 Source:LogServer | Log Server Started | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 6 | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 33 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Talus | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 7 | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 39 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Tatooine | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 8 | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 37 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Yavin IV | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Add dynamic spawn -- planet ID 9 | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 37 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Tanaab | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 0 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Umbra | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 0 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loading dynamic lair spawn list for Tutorial | SEV: INFO
2017-01-25 04:59:12 Source:DatabaseInterface | Loaded 0 lair spawns. | SEV: INFO
2017-01-25 04:59:12 Source:ScriptManager | 3 script files loaded. | SEV: INFO
2017-01-25 04:59:12 Source:ScriptManager | 3 script files compiled. | SEV: INFO
2017-01-25 04:59:12 Source:ScriptManager | Loaded 3 system scripts from 3 constant entries. | SEV: INFO
2017-01-25 04:59:12 Source:ScriptManager | Loaded 0 item scripts from 15425 item_template entries. | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Zone server on-line. | SEV: INFO
2017-01-25 04:59:12 Source:ZoneServer() | Listening on address 0.0.0.0/0.0.0.0:44463 | SEV: INFO
